date,value
1/1/1900,76094000
1/1/1901,77584000
1/1/1902,79163000
1/1/1903,80632000
1/1/1904,82166000
1/1/1905,83822000
1/1/1906,85450000
1/1/1907,87008000
1/1/1908,88710000
1/1/1909,90490000
1/1/1910,92407000
1/1/1911,93863000
1/1/1912,95335000
1/1/1913,97225000
1/1/1914,99111000
1/1/1915,100546000
1/1/1916,101961000
1/1/1917,103268000
1/1/1918,103208000
1/1/1919,104514000
1/1/1920,106461000
1/1/1921,108538000
1/1/1922,110049000
1/1/1923,111947000
1/1/1924,114109000
1/1/1925,115829000
1/1/1926,117397000
1/1/1927,119035000
1/1/1928,120509000
1/1/1929,121767000
1/1/1930,123076741
1/1/1931,124039648
1/1/1932,124840471
1/1/1933,125578763
1/1/1934,126373773
1/1/1935,127250232
1/1/1936,128053180
1/1/1937,128824829
1/1/1938,129824939
1/1/1939,130879718
1/1/1940,132122446
1/1/1941,133402471
1/1/1942,134859553
1/1/1943,136739353
1/1/1944,138397345
1/1/1945,139928165
1/1/1946,141388566
1/1/1947,144126071
1/1/1948,146631302
1/1/1949,149188130
1/1/1950,152271417
1/1/1951,154877889
1/1/1952,157552740
1/1/1953,160184192
1/1/1954,163025854
1/1/1955,165931202
1/1/1956,168903031
1/1/1957,171984130
1/1/1958,174881904
1/1/1959,177829628
1/1/1960,180671158
1/1/1961,183691481
1/1/1962,186537737
1/1/1963,189241798
1/1/1964,191888791
1/1/1965,194302963
1/1/1966,196560338
1/1/1967,198712056
1/1/1968,200706052
1/1/1969,202676946
1/1/1970,205052174
1/1/1971,207660677
1/1/1972,209896021
1/1/1973,211908788
1/1/1974,213853928
1/1/1975,215973199
1/1/1976,218035164
1/1/1977,220239425
1/1/1978,222584545
1/1/1979,225055487
1/1/1980,227224681
1/1/1981,229465714
1/1/1982,231664458
1/1/1983,233791994
1/1/1984,235824902
1/1/1985,237923795
1/1/1986,240132887
1/1/1987,242288918
1/1/1988,244498982
1/1/1989,246819230
1/1/1990,249464396
1/1/1991,252153092
1/1/1992,255029699
1/1/1993,257782608
1/1/1994,260327021
1/1/1995,262803276
1/1/1996,265228572
1/1/1997,267783607
1/1/1998,270248003
1/1/1999,272690813
